Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
9680000.0 ; 8.726274E-5
9692000.0 ; 8.724713E-5
9700000.0 ; 8.723674E-5
9726000.0 ; 8.720304E-5
9740000.0 ; 8.718493E-5
9750000.0 ; 8.717201E-5
9800000.0 ; 8.710766E-5
9808080.0 ; 8.70973E-5
9821000.0 ; 8.693788E-5
9830000.0 ; 8.682712E-5
9868000.0 ; 8.636213E-5
9900000.0 ; 8.597388E-5
9917000.0 ; 8.576883E-5
9921000.0 ; 8.572071E-5
1.0E7 ; 8.47797E-5
1.005E7 ; 8.410996E-5
1.0053E7 ; 8.407005E-5
1.017E7 ; 8.25373E-5
1.025E7 ; 8.151527E-5
1.03E7 ; 8.088693E-5
1.0372E7 ; 7.999588E-5
1.04E7 ; 7.965367E-5
1.0448E7 ; 7.907254E-5
1.044806E7 ; 7.907182E-5
1.0478E7 ; 7.871284E-5
1.05E7 ; 7.845074E-5
